MainThread | INFO: Init finished!
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 450557 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 452605 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 454653 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 455677 / 806289
UI | INFO: Timeline is being updated: 455677 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 457725 / 806289
Input | INFO: Provided key: [
UI | INFO: Timeline is being updated: 458749 / 806289
UI | INFO: Timeline is being updated: 460797 / 806289
Input | INFO: Provided path: [[
Input | ERROR: [Errno 2] No such file or directory: 'C:\\Users\\wojtek\\Desktop\\Programming\\Python\\glitchy-sound-looper\\[['
UI | INFO: Timeline is being updated: 462845 / 806289
UI | INFO: Timeline is being updated: 463869 / 806289
UI | INFO: Timeline is being updated: 463869 / 806289
UI | INFO: Timeline is being updated: 466941 / 806289
UI | INFO: Timeline is being updated: 467965 / 806289
UI | INFO: Timeline is being updated: 470013 / 806289
UI | INFO: Timeline is being updated: 471037 / 806289
UI | INFO: Timeline is being updated: 472061 / 806289
UI | INFO: Timeline is being updated: 472061 / 806289
UI | INFO: Timeline is being updated: 474109 / 806289
UI | INFO: Timeline is being updated: 476157 / 806289
